COUNTY,Total Active Cases,Total Recovered,Total Deaths,Date
Cass,3191,364,0,1/14/2022
Cavalier,36,2,0,1/14/2022
Dickey,30,3,0,1/14/2022
Divide,16,1,0,1/14/2022
Dunn,19,0,0,1/14/2022
Eddy,17,3,0,1/14/2022
Emmons,11,1,0,1/14/2022
Foster,33,7,0,1/14/2022
Golden Valley,7,0,0,1/14/2022
Grand Forks,1055,101,0,1/14/2022
Grant,10,1,0,1/14/2022
Griggs,15,1,0,1/14/2022
Hettinger,67,2,0,1/14/2022
Kidder,14,2,0,1/14/2022
LaMoure,32,5,0,1/14/2022
Logan,9,0,0,1/14/2022
McHenry,28,3,0,1/14/2022
McIntosh,8,3,0,1/14/2022
McKenzie,73,2,0,1/14/2022
McLean,54,3,1,1/14/2022
Mercer,71,0,0,1/14/2022
Morton,382,39,0,1/14/2022
Mountrail,146,11,0,1/14/2022
Nelson,21,0,0,1/14/2022
Oliver,12,0,0,1/14/2022
Pembina,62,6,0,1/14/2022
Pierce,22,9,0,1/14/2022
Ramsey,126,10,0,1/14/2022
Ransom,49,2,0,1/14/2022
Renville,18,3,0,1/14/2022
Richland,129,19,0,1/14/2022
Rolette,534,53,0,1/14/2022
Sargent,22,4,0,1/14/2022
Sheridan,3,0,0,1/14/2022
Sioux,86,1,0,1/14/2022
Slope,1,0,0,1/14/2022
Stark,293,24,0,1/14/2022
Steele,12,0,0,1/14/2022
Stutsman,177,8,0,1/14/2022
Towner,30,1,0,1/14/2022
Traill,66,4,0,1/14/2022
Unknown,0,0,0,1/14/2022
Walsh,82,7,0,1/14/2022
Ward,650,100,0,1/14/2022
Wells,20,0,0,1/14/2022
Williams,347,33,0,1/14/2022
Adams,9,1,0,1/15/2022
Barnes,83,18,0,1/15/2022
Benson,45,10,0,1/15/2022
Billings,2,0,0,1/15/2022
Bottineau,32,8,0,1/15/2022
Bowman,8,3,0,1/15/2022
Burke,9,2,0,1/15/2022
Burleigh,1233,289,0,1/15/2022
Cass,2549,888,1,1/15/2022
Cavalier,36,3,0,1/15/2022
Dickey,31,3,0,1/15/2022
Divide,12,3,1,1/15/2022
Dunn,19,2,0,1/15/2022
Eddy,15,4,0,1/15/2022
Emmons,12,0,0,1/15/2022
